humidity,temp,label
53,15.3,0
54,18.1,0
58,16,0
64,17.3,0
47,18.2,0
62,17.3,0
61,17.5,0
45,18.3,0
60,17.4,0
60,17.5,0
44,18.4,0
57,17.4,0
59,17.6,0
43,18.5,0
57,17.4,0
57,17.6,0
43,18.5,0
58,17.4,0
55,17.6,0
42,18.4,0
61,17.3,0
54,17.5,0
44,18.3,0
62,17.3,0
53,17.4,0
45,18.2,0
63,17.3,0
53,17.3,0
43,18.3,0
60,17.3,0
53,17.2,0
43,18.2,0
60,17.2,0
52,17.2,0
44,18.2,0
60,17.2,0
53,17,0
45,18.2,0
61,17.2,0
55,17,0
42,18.1,0
61,17.2,0
56,16.9,0
39,17.9,0
61,17.2,0
58,16.9,0
39,17.8,0
61,17.2,0
59,16.9,0
39,17.8,0
61,17.2,0
58,16.9,0
41,17.3,0
59,17.2,0
58,16.8,0
41,17.2,0
59,17.2,0
56,16.8,0
40,17.2,0
58,17.1,0
56,16.8,0
40,17,0
57,17.1,0
56,16.7,0
40,16.9,0
56,17,0
56,16.7,0
41,16.8,0
56,17,0
55,16.7,0
41,16.2,0
56,16.8,0
54,16.6,0
42,16.2,0
56,16.8,0
54,16.4,0
42,16.1,0
56,16.7,0
54,16.4,0
46,15.4,0
56,16.4,0
54,16.4,0
46,15.4,0
57,16.3,0
54,16.3,0
46,15.4,0
56,16.3,0
54,16.3,0
46,15.3,0
57,16.2,0
54,16.3,0
46,15.3,0
57,16.2,0
54,16.3,0
46,15.3,0
57,16.1,0
54,16.2,0
45,15.3,0
57,16,0
53,16.2,0
45,15.2,0
56,15.9,0
54,16.1,0
45,15,0
56,15.9,0
54,16.1,0
45,14.9,0
58,15.8,0
54,16,0
48,14.8,0
61,15.8,0
56,16,0
49,14.8,0
62,15.8,0
58,16,0
50,14.9,0
63,15.8,0
58,16,0
50,14.8,0
64,15.9,0
58,16,0
51,14.9,0
64,15.9,0
60,16.1,0
54,14.9,0
64,16,0
61,16.1,0
58,15.1,0
64,16,0
59,16.1,0
56,15.2,0
63,16,0
59,16.1,0
51,15.4,0
64,16.1,0
58,16.1,0
51,15.5,0
63,16.1,0
59,16.1,0
50,15.5,0
158,8,0
59,16.1,0
50,15.5,0
59,16.1,0
61,16.2,0
51,15.5,0
62,16.1,0
63,16.2,0
53,15.6,0
64,16.2,0
52,21.4,1
43,22.1,1
63,16.2,1
51,21.4,1
42,22.1,1
60,21.9,1
55,21.6,1
